main_category,sub_category,product_name,product_link,ratings,actual_price,image_url,vendor_name
mobiles,Vivo mobiles,"Vivo V29 Pro 5G 256 GB, 8 GB RAM, Space Black, Mobile Phone",https://www.reliancedigital.in/vivo-v29-pro-5g-256-gb-8-gb-ram-space-black-mobile-phone/p/494267912,,39999,https://www.reliancedigital.in/medias/Vivo-V29Pro-494267912-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wzNDc2M3xpbWFnZS9qcGVnfGltYWdlcy9oZTYvaDdjLzEwMDU3NjY0Mzk3MzQyLmpwZ3wwN2MyZGIwYmZhYjlkMTUxMjhiZDFhM2E2MGQ2YjY3ZmMwOWJjZjI0N2U2OWZmNGMwOTljNTc2YzAwZDkxM2M5,Reliance
mobiles,Vivo mobiles,"Vivo Y100A 5G 256 GB, 8 GB RAM, Metal Black, Mobile Phone",https://www.reliancedigital.in/vivo-y100a-5g-256-gb-8-gb-ram-metal-black-mobile-phone/p/493666317,,23999,https://www.reliancedigital.in/medias/Vivo-Y100A-Black-493666317-Mobile-Phone-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wyODg4M3xpbWFnZS9qcGVnfGltYWdlcy9oZDEvaDdjLzEwMDAyMTkxMjIwNzY2LmpwZ3xhYWIyYzIyYzU3ODMxNGFmZmYxOTIxNGM4YTExZDViMWI0ZWRjYWIxNGVjNGY0ZjAwODFhNWE0MjYxM2RmNjc3,Reliance
mobiles,Vivo mobiles,"Vivo Y200 128 GB, 8 GB RAM, Desert Gold, Mobile Phone",https://www.reliancedigital.in/vivo-y200-128-gb-8-gb-ram-desert-gold-mobile-phone/p/494268043,,21999,https://www.reliancedigital.in/medias/Vivo-Y200-5G-Gold-494268043-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3w1MDk2N3xpbWFnZS9qcGVnfGltYWdlcy9oMzQvaDk5LzEwMDcyOTM4OTcxMTY2LmpwZ3xmNGNlNTMxMjkzZTRjZjg5Y2NlYmU1ZDZiNTgzMDIzZTc3ZWVmNTMzOWYzNmE3YjRmZDRhN2Q5ZjJlNjJhNTYw,Reliance
mobiles,Vivo mobiles,"Vivo V29e 256 GB, 8 GB, Red Mobile Phone",https://www.reliancedigital.in/vivo-v29e-256-gb-8-gb-red-mobile-phone/p/493838653,,27999,https://www.reliancedigital.in/medias/Vivo-V29e-256-GB-8-GB-Red-Smartphone-493838653-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3w0ODk2OHxpbWFnZS9qcGVnfGltYWdlcy9oM2UvaDVhLzEwMDM5NzAwNjg0ODMwLmpwZ3w1ZmM1MTBhMWQ2NDUzZmI3MDYwZWVhMTZhMGFkNTVhZWVlMmNjMDJkNzc3NTFmZThhMDBmMmNmZmYwMzgyYTBk,Reliance
mobiles,Vivo mobiles,"Vivo V29e 256 GB, 8 GB, Blue Mobile Phone",https://www.reliancedigital.in/vivo-v29e-256-gb-8-gb-blue-mobile-phone/p/493838654,,27999,https://www.reliancedigital.in/medias/Vivo-V29e-256-GB-8-GB-Blue-Smartphone-493838654-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3w1MDYxNXxpbWFnZS9qcGVnfGltYWdlcy9oYTQvaDRiLzEwMDM5NzAwMDI5NDcwLmpwZ3xlMDUyMDQ5MWExNjZmYzE2MGJiNTM0MTIzNjE3ODc2MzUyZDlhODc1YjUwZTE3YmNiYjc1NmJhY2Q3M2I1YzUy,Reliance
mobiles,Vivo mobiles,"Vivo X100 5G 256 GB, 12 GB RAM, Blue, Mobile Phone",https://www.reliancedigital.in/vivo-x100-5g-256-gb-12-gb-ram-blue-mobile-phone/p/494351896,,63999,https://www.reliancedigital.in/medias/Vivo-X100-Blue-494351896-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wyNjgzN3xpbWFnZS9qcGVnfGltYWdlcy9oOTAvaGMzLzEwMDkzNjM4Mzg1Njk0LmpwZ3xkNmM0OGJhMzFkZGZiYzc4YmViYjY3MzhmMzUxYTAzZDdkN2M2YjViZmVjMTQzNDJhYTQ4YTQ3MDI4MTRkNWE0,Reliance
mobiles,Vivo mobiles,"Vivo X100 5G 512 GB, 16 GB RAM, Black, Mobile Phone",https://www.reliancedigital.in/vivo-x100-5g-512-gb-16-gb-ram-black-mobile-phone/p/494351898,,69999,https://www.reliancedigital.in/medias/Vivo-X100-Black-494351898-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wzMTQ1N3xpbWFnZS9qcGVnfGltYWdlcy9oYjQvaDFkLzEwMDkzNjM4MDU4MDE0LmpwZ3xjZjA4MzMzNjI5MzJkYmFiNWFkODVlMmZhYjc4MmVjY2Q2YzE2NGNmNTZhZDlkOTg4MzY5NGI4MDA4ZjMzNjIy,Reliance
mobiles,Vivo mobiles,"Vivo Y100A 5G 256 GB, 8 GB RAM, Pacific Blue, Mobile Phone",https://www.reliancedigital.in/vivo-y100a-5g-256-gb-8-gb-ram-pacific-blue-mobile-phone/p/493666316,,23999,https://www.reliancedigital.in/medias/Vivo-Y100A-Blue-493666316-Mobile-Phone-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wyODE0N3xpbWFnZS9qcGVnfGltYWdlcy9oNjgvaGUyLzEwMDAyMTg3ODc4NDMwLmpwZ3w2M2Q4ZDVhZmI3OWZiZjEzODNhODgyYmQ0OGI0M2FmMGE5YzMwOWUzNDQyNTIxNDU5YWFiMGVlYmM1OTM2MTU5,Reliance
mobiles,Vivo mobiles,Vivo Y36 8 GB RAM 128GB Black Mobile Phone,https://www.reliancedigital.in/vivo-y36-8-gb-ram-128gb-black-mobile-phone/p/493838152,,14999,https://www.reliancedigital.in/medias/Vivo-Y-Series-Mobile-Phone-493838152-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wxMTk4NXxpbWFnZS9qcGVnfGltYWdlcy9oNGUvaGFhLzEwMDE0ODYzNzg2MDE0LmpwZ3wwYThiOGRmYjgwZjdmYjVmN2Q2MGNjZDhkOTU5MTU5ZTc4NzMwMDRkNmY0YTFiNzRhM2MxYzQ0NTAzMjZhYjZi,Reliance
mobiles,Vivo mobiles,"Vivo Y16 128 GB, 4 GB RAM, Stellar Black, Mobile Phone",https://www.reliancedigital.in/vivo-y16-128-gb-4-gb-ram-stellar-black-mobile-phone/p/493666417,,9999,https://www.reliancedigital.in/medias/Vivo-Y16-Mobile-Phone-493666417-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wyMjEwNHxpbWFnZS9qcGVnfGltYWdlcy9oY2UvaDhkLzk5OTMyMTUyNDYzNjYuanBnfGVlMDBkMjYyZGE2YmUxMmIxZDI4MWJhOTVmNjcyMjE4NzI1YzkzMWNlMmY1ZjVlNDU4ZTJiMjM4YzRhZTE3YzY,Reliance
